/home/rgundaka/miniconda3/envs/rishig/lib/python3.6/site-packages/torch/functional.py:445: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2157.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
wandb: Currently logged in as: rishigundakaram (use `wandb login --relogin` to force relogin)
loading data
loaded data
wandb: wandb version 0.12.17 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.12.10
wandb: Syncing run fluent-plasma-74
wandb: ⭐️ View project at https://wandb.ai/rishigundakaram/CPINO
wandb: 🚀 View run at https://wandb.ai/rishigundakaram/CPINO/runs/ulefwnvo
wandb: Run data is saved locally in /central/groups/tensorlab/rgundaka/code/PINO/CPINO/experiments/Darcy_pino/wandb/run-20220531_135432-ulefwnvo
wandb: Run `wandb offline` to turn off syncing.


  0% 0/300 [00:00<?, ?it/s]
Epoch: 0, train loss: 0.89502, f_loss: 0.89502, data loss: 0.86100:   0% 0/300 [00:02<?, ?it/s]
Epoch: 0, train loss: 0.89502, f_loss: 0.89502, data loss: 0.86100:   0% 1/300 [00:02<14:04,  2.82s/it]
Epoch: 1, train loss: 0.71807, f_loss: 0.71807, data loss: 0.68452:   0% 1/300 [00:05<14:04,  2.82s/it]
Epoch: 1, train loss: 0.71807, f_loss: 0.71807, data loss: 0.68452:   1% 2/300 [00:05<13:22,  2.69s/it]
Epoch: 2, train loss: 0.61164, f_loss: 0.61164, data loss: 0.53396:   1% 2/300 [00:07<13:22,  2.69s/it]
Epoch: 2, train loss: 0.61164, f_loss: 0.61164, data loss: 0.53396:   1% 3/300 [00:07<12:55,  2.61s/it]
Epoch: 3, train loss: 0.54996, f_loss: 0.54996, data loss: 0.44046:   1% 3/300 [00:10<12:55,  2.61s/it]
Epoch: 3, train loss: 0.54996, f_loss: 0.54996, data loss: 0.44046:   1% 4/300 [00:10<12:34,  2.55s/it]
Epoch: 4, train loss: 0.50265, f_loss: 0.50265, data loss: 0.37378:   1% 4/300 [00:12<12:34,  2.55s/it]
Epoch: 4, train loss: 0.50265, f_loss: 0.50265, data loss: 0.37378:   2% 5/300 [00:12<12:22,  2.52s/it]
Epoch: 5, train loss: 0.46298, f_loss: 0.46298, data loss: 0.32030:   2% 5/300 [00:15<12:22,  2.52s/it]
Epoch: 5, train loss: 0.46298, f_loss: 0.46298, data loss: 0.32030:   2% 6/300 [00:15<12:13,  2.49s/it]
Epoch: 6, train loss: 0.43489, f_loss: 0.43489, data loss: 0.28378:   2% 6/300 [00:17<12:13,  2.49s/it]
Epoch: 6, train loss: 0.43489, f_loss: 0.43489, data loss: 0.28378:   2% 7/300 [00:17<12:06,  2.48s/it]
Epoch: 7, train loss: 0.40912, f_loss: 0.40912, data loss: 0.25340:   2% 7/300 [00:19<12:06,  2.48s/it]
Epoch: 7, train loss: 0.40912, f_loss: 0.40912, data loss: 0.25340:   3% 8/300 [00:19<12:00,  2.47s/it]
Epoch: 8, train loss: 0.38741, f_loss: 0.38741, data loss: 0.23055:   3% 8/300 [00:22<12:00,  2.47s/it]
Epoch: 8, train loss: 0.38741, f_loss: 0.38741, data loss: 0.23055:   3% 9/300 [00:22<11:55,  2.46s/it]
Epoch: 9, train loss: 0.36730, f_loss: 0.36730, data loss: 0.20688:   3% 9/300 [00:24<11:55,  2.46s/it]
Epoch: 9, train loss: 0.36730, f_loss: 0.36730, data loss: 0.20688:   3% 10/300 [00:24<11:51,  2.45s/it]
Epoch: 10, train loss: 0.35318, f_loss: 0.35318, data loss: 0.19331:   3% 10/300 [00:27<11:51,  2.45s/it]
Epoch: 10, train loss: 0.35318, f_loss: 0.35318, data loss: 0.19331:   4% 11/300 [00:27<11:47,  2.45s/it]
Epoch: 11, train loss: 0.33548, f_loss: 0.33548, data loss: 0.17757:   4% 11/300 [00:29<11:47,  2.45s/it]
Epoch: 11, train loss: 0.33548, f_loss: 0.33548, data loss: 0.17757:   4% 12/300 [00:29<11:44,  2.44s/it]
Epoch: 12, train loss: 0.32503, f_loss: 0.32503, data loss: 0.16766:   4% 12/300 [00:32<11:44,  2.44s/it]
Epoch: 12, train loss: 0.32503, f_loss: 0.32503, data loss: 0.16766:   4% 13/300 [00:32<11:40,  2.44s/it]
Epoch: 13, train loss: 0.31148, f_loss: 0.31148, data loss: 0.15389:   4% 13/300 [00:34<11:40,  2.44s/it]
Epoch: 13, train loss: 0.31148, f_loss: 0.31148, data loss: 0.15389:   5% 14/300 [00:34<11:37,  2.44s/it]
Epoch: 14, train loss: 0.30754, f_loss: 0.30754, data loss: 0.15090:   5% 14/300 [00:36<11:37,  2.44s/it]
Epoch: 14, train loss: 0.30754, f_loss: 0.30754, data loss: 0.15090:   5% 15/300 [00:36<11:34,  2.44s/it]
Epoch: 15, train loss: 0.30461, f_loss: 0.30461, data loss: 0.14571:   5% 15/300 [00:39<11:34,  2.44s/it]
Epoch: 15, train loss: 0.30461, f_loss: 0.30461, data loss: 0.14571:   5% 16/300 [00:39<11:30,  2.43s/it]
Epoch: 16, train loss: 0.30523, f_loss: 0.30523, data loss: 0.14663:   5% 16/300 [00:41<11:30,  2.43s/it]
Epoch: 16, train loss: 0.30523, f_loss: 0.30523, data loss: 0.14663:   6% 17/300 [00:41<11:28,  2.43s/it]
Epoch: 17, train loss: 0.29547, f_loss: 0.29547, data loss: 0.13876:   6% 17/300 [00:44<11:28,  2.43s/it]
Epoch: 17, train loss: 0.29547, f_loss: 0.29547, data loss: 0.13876:   6% 18/300 [00:44<11:25,  2.43s/it]
Epoch: 18, train loss: 0.27691, f_loss: 0.27691, data loss: 0.12545:   6% 18/300 [00:46<11:25,  2.43s/it]
